ID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
2461,Mao,592.0,France,Male,37.0,4,212692.97,1,No,No,,No,1,GOLD,232,0
2462,Colman,731.0,France,Female,47.0,1,115414.19,3,No,No,191734.67,Yes,3,GOLD,611,1
2463,Ko,,Germany,Female,54.0,1,123699.28,2,No,Yes,105221.76,No,1,GOLD,664,0
2464,Loggia,725.0,Germany,Male,40.0,8,104149.66,1,Yes,No,62027.9,No,4,GOLD,414,0
2465,Padovesi,582.0,France,Female,29.0,0,0.0,1,Yes,Yes,84012.81,No,2,DIAMOND,572,0
2466,Jones,646.0,France,Female,51.0,4,101629.3,1,No,No,130541.1,No,5,SILVER,639,0
2467,Ijendu,,France,Male,24.0,1,0.0,3,Yes,Yes,47911.03,No,3,GOLD,758,0
2468,Yevseyev,832.0,France,,61.0,2,0.0,1,No,Yes,127804.66,Yes,2,DIAMOND,748,1
2469,Griffin,641.0,France,Male,30.0,2,87505.47,2,No,Yes,7278.57,No,2,DIAMOND,893,0
2470,Knowles,744.0,Spain,,31.0,0,117551.23,1,Yes,No,,No,3,PLATINUM,633,0
2471,Olejuru,784.0,Spain,Male,35.0,3,0.0,2,No,No,81483.64,No,2,PLATINUM,469,0
2472,Zhou,595.0,Germany,Female,41.0,2,138878.81,1,No,Yes,112269.67,No,5,SILVER,530,0
2473,Francis,509.0,Spain,Male,38.0,2,0.0,1,No,No,168460.12,No,2,GOLD,450,0
2474,Golibe,700.0,Germany,Female,40.0,4,148571.07,1,Yes,No,189826.96,Yes,2,SILVER,266,1
2475,Chin,,Spain,Female,28.0,1,0.0,2,Yes,Yes,120880.72,No,3,SILVER,451,0
2476,Wanliss,815.0,France,Male,,7,0.0,1,No,Yes,,Yes,5,SILVER,666,1
2477,Douglas,606.0,Germany,Female,27.0,6,172310.33,1,No,Yes,111448.92,No,4,DIAMOND,232,0
2478,Hung,614.0,Germany,Female,39.0,8,125997.22,1,Yes,Yes,128049.34,Yes,5,DIAMOND,817,1
2479,Johnson,850.0,Spain,Male,28.0,9,97408.03,1,Yes,Yes,175853.64,No,3,GOLD,962,0
2480,Davey,768.0,Spain,Female,42.0,3,0.0,1,No,No,161242.99,Yes,1,SILVER,651,1
2481,Fiorentino,,France,Female,81.0,6,0.0,2,Yes,Yes,72276.24,No,4,SILVER,774,0
2482,Page,435.0,France,Male,36.0,4,0.0,1,Yes,Yes,197015.2,No,4,PLATINUM,758,0
2483,Clark,743.0,France,Female,46.0,9,0.0,1,Yes,No,113436.08,No,2,DIAMOND,761,0
2484,Yashina,497.0,Germany,Female,32.0,8,111537.23,4,Yes,Yes,9497.99,Yes,5,SILVER,822,1
2485,Hawkins,792.0,Spain,Female,40.0,7,0.0,1,Yes,No,141652.2,No,1,DIAMOND,538,0
2486,Milano,630.0,Spain,Female,49.0,1,0.0,2,No,Yes,,No,3,GOLD,998,0
2487,Romani,816.0,Spain,Male,67.0,6,151858.98,1,Yes,Yes,72814.31,No,5,GOLD,459,0
2488,Feng,666.0,France,Female,40.0,2,0.0,2,No,No,36371.27,No,2,SILVER,879,0
2489,Schneider,779.0,Germany,Male,37.0,7,120092.52,2,Yes,No,,No,1,GOLD,466,0
2490,Gallo,532.0,France,Male,42.0,1,159024.71,1,Yes,No,100982.93,Yes,5,GOLD,564,1
2491,Findlay,707.0,France,Male,40.0,1,0.0,2,Yes,No,14090.4,Yes,3,PLATINUM,222,1
2492,Ch'ang,,France,Male,27.0,2,0.0,2,Yes,Yes,199527.34,No,2,PLATINUM,918,0
2493,Han,844.0,France,Female,41.0,10,76319.64,1,Yes,Yes,141175.18,Yes,3,PLATINUM,256,1
2494,Doyne,762.0,Spain,Female,43.0,5,134204.67,1,Yes,Yes,,No,4,DIAMOND,672,0
2495,K'ung,612.0,Spain,Female,,0,167026.61,2,Yes,Yes,192892.05,No,1,PLATINUM,739,0
2496,Calabresi,473.0,France,Female,35.0,6,69617.36,1,Yes,No,143345.69,No,1,PLATINUM,959,0
2497,Price,678.0,Spain,Male,30.0,0,0.0,1,Yes,,35113.08,No,4,GOLD,965,0
2498,Kumm,677.0,France,Female,24.0,0,148298.59,2,No,No,182913.95,No,5,SILVER,339,0
2499,Anayochukwu,815.0,Spain,Female,38.0,2,48387.0,1,Yes,No,184796.84,No,3,DIAMOND,243,0
2500,Ch'ien,807.0,France,Male,42.0,7,118274.71,1,Yes,Yes,25885.72,No,3,DIAMOND,899,0
2501,Pomeroy,588.0,France,Male,,1,0.0,2,Yes,Yes,8763.87,No,1,PLATINUM,824,0
2502,Hyde,743.0,Germany,Male,59.0,5,108585.35,1,Yes,Yes,192127.22,Yes,5,SILVER,431,1
2503,Iroawuchi,491.0,Spain,Female,61.0,8,0.0,2,No,Yes,139861.53,No,4,PLATINUM,973,0
2504,Han,605.0,France,,36.0,6,0.0,1,No,Yes,690.84,No,4,DIAMOND,373,0
2505,Combes,689.0,France,,,1,165312.27,1,Yes,No,155495.63,No,3,DIAMOND,326,0
2506,Jamieson,625.0,Germany,Female,35.0,5,86147.46,2,Yes,No,163440.8,Yes,2,GOLD,240,1
2507,Fomin,767.0,Germany,Female,33.0,1,144753.21,1,Yes,Yes,132480.75,No,1,GOLD,541,0
2508,Thompson,660.0,France,Male,33.0,0,72783.42,1,No,No,181051.99,No,1,PLATINUM,553,0
2509,Dobie,661.0,Spain,Male,42.0,2,178820.91,1,No,No,29358.57,Yes,1,PLATINUM,426,1
2510,Verco,571.0,France,Female,35.0,8,0.0,2,No,No,84569.13,No,3,SILVER,329,0
2511,Tan,770.0,Germany,Male,45.0,4,110765.68,1,Yes,No,26163.74,Yes,1,GOLD,550,1
2512,Dalrymple,542.0,France,Male,39.0,3,135096.77,1,Yes,Yes,14353.43,Yes,2,PLATINUM,328,1
2513,Trout,626.0,Germany,Male,49.0,9,171787.84,2,Yes,No,187192.23,No,5,SILVER,398,0
2514,Ives,655.0,France,Male,28.0,10,0.0,2,No,Yes,126565.21,No,2,SILVER,315,0
2515,Lenhardt,632.0,France,Female,44.0,3,133793.89,1,Yes,Yes,34607.14,Yes,1,SILVER,621,1
2516,Moretti,597.0,Spain,Female,46.0,4,0.0,2,Yes,No,,Yes,5,SILVER,666,1
2517,Edwards,643.0,Germany,Male,28.0,9,160858.13,2,Yes,No,27149.27,No,4,DIAMOND,349,0
2518,Michael,701.0,Spain,Female,34.0,6,107980.37,1,Yes,Yes,119374.74,No,3,PLATINUM,563,0
2519,McCane,714.0,Spain,,31.0,6,152926.6,1,Yes,Yes,50899.91,No,3,DIAMOND,983,0
2520,North,635.0,France,Female,27.0,8,127471.56,1,Yes,Yes,152916.05,Yes,5,DIAMOND,476,1
2521,Genovese,639.0,Spain,Male,29.0,4,133434.57,2,Yes,No,97983.44,No,3,PLATINUM,293,0
2522,Padovano,802.0,Spain,Male,41.0,6,0.0,2,Yes,No,47322.05,No,2,DIAMOND,340,0
2523,Docherty,730.0,France,Female,27.0,7,0.0,2,Yes,No,144099.48,No,1,SILVER,833,0
2524,Lu,516.0,France,Female,33.0,7,127305.5,1,Yes,Yes,120037.36,No,4,GOLD,924,0
2525,Christie,604.0,France,Female,32.0,7,127849.38,1,Yes,No,15798.7,No,3,PLATINUM,747,0
2526,Onwuamaeze,604.0,France,Male,53.0,8,144453.75,1,Yes,No,190998.96,Yes,3,DIAMOND,985,1
2527,T'ien,491.0,France,Male,33.0,5,83134.3,1,Yes,No,187946.55,No,1,PLATINUM,686,0
2528,Bustard,706.0,Spain,Male,20.0,8,0.0,2,Yes,Yes,12368.11,No,4,PLATINUM,354,0
2529,P'eng,594.0,Germany,Male,41.0,2,122545.65,2,Yes,Yes,42050.24,No,2,DIAMOND,866,0
2530,Mathews,774.0,France,Female,32.0,4,0.0,2,No,No,114899.13,No,2,GOLD,464,0
2531,Reid,660.0,Spain,Male,33.0,4,0.0,1,Yes,No,29664.45,No,4,DIAMOND,400,0
2532,Wan,640.0,France,Female,,9,116037.76,1,No,Yes,184636.05,No,1,DIAMOND,909,0
2533,Milne,622.0,France,Male,26.0,9,0.0,2,Yes,Yes,153237.59,No,3,PLATINUM,344,0
2534,Mordvinova,630.0,France,Female,36.0,8,126598.99,2,Yes,Yes,134407.93,No,2,PLATINUM,970,0
2535,Horton,672.0,Germany,Female,21.0,3,165878.76,2,Yes,Yes,164537.17,No,2,DIAMOND,412,0
2536,Ibrahimova,562.0,Germany,Male,35.0,3,142296.13,1,No,Yes,177112.7,No,3,DIAMOND,836,0
2537,Cunningham,608.0,France,Female,30.0,8,85859.76,1,No,No,142730.27,No,5,DIAMOND,922,0
2538,Teng,584.0,Spain,Female,50.0,1,0.0,1,No,Yes,152567.75,Yes,2,SILVER,290,1
2539,Noble,437.0,Germany,Male,35.0,6,126803.34,2,Yes,Yes,161133.4,No,3,DIAMOND,628,0
2540,Mashman,571.0,France,,42.0,4,108825.34,3,Yes,No,55558.51,Yes,1,DIAMOND,866,1
2541,Hancock,657.0,Spain,Male,40.0,10,0.0,2,Yes,Yes,52990.7,No,3,GOLD,724,0
2542,Barker,583.0,France,Male,33.0,7,122531.86,1,Yes,No,13549.24,No,1,SILVER,313,0
2543,T'ien,705.0,France,Male,92.0,1,126076.24,2,Yes,Yes,34436.83,No,5,SILVER,772,0
2544,Montemayor,777.0,Spain,Female,35.0,3,0.0,2,Yes,Yes,17257.72,No,2,GOLD,616,0
2545,Jibunoh,608.0,Germany,Male,,7,114203.47,1,Yes,Yes,77830.36,Yes,4,PLATINUM,268,1
2546,Chidiebele,698.0,Germany,Male,44.0,10,116363.37,2,Yes,No,198059.16,No,4,SILVER,829,0
2547,Kapustin,635.0,Germany,Male,37.0,5,113488.68,1,Yes,No,95611.74,Yes,1,PLATINUM,969,1
2548,Kao,587.0,Germany,Female,45.0,8,134980.74,1,Yes,Yes,123309.57,Yes,1,SILVER,314,1
2549,Knowles,771.0,Spain,Female,33.0,5,0.0,2,Yes,No,8673.43,No,5,SILVER,288,0
2550,Lettiere,711.0,France,Female,25.0,5,190066.54,1,No,No,,Yes,5,GOLD,303,1
2551,Ferrari,810.0,France,Female,38.0,9,153166.17,1,Yes,Yes,93261.69,No,2,DIAMOND,474,0
2552,Fanucci,689.0,Spain,Female,57.0,4,0.0,2,Yes,No,136649.8,Yes,2,GOLD,909,1
2553,Nkemjika,576.0,Spain,Male,45.0,5,133618.01,1,No,No,135244.87,No,3,SILVER,291,0
2554,Onwubiko,699.0,France,Male,64.0,9,113109.52,1,Yes,No,27980.8,Yes,2,SILVER,787,1
2555,Rowley,504.0,Germany,Female,44.0,0,131873.07,2,Yes,Yes,158036.72,Yes,3,GOLD,646,1
2556,Joseph,835.0,Spain,Male,45.0,3,100212.13,1,Yes,No,152577.62,No,2,GOLD,398,0
2557,Liang,567.0,Spain,Male,43.0,2,115643.58,2,No,No,174606.35,No,2,DIAMOND,754,0
2558,Green,794.0,France,Male,46.0,6,0.0,2,Yes,No,195325.74,No,4,PLATINUM,838,0
2559,Bruno,619.0,France,Male,25.0,4,0.0,1,Yes,No,145524.36,No,4,DIAMOND,629,0
2560,Avdeeva,,Spain,Male,71.0,4,0.0,1,Yes,Yes,120107.1,No,3,DIAMOND,305,0
2561,Lawrence,486.0,Spain,Male,24.0,1,0.0,1,Yes,No,98802.76,No,5,DIAMOND,937,0
2562,Brim,532.0,Spain,Female,66.0,3,0.0,1,Yes,Yes,115227.02,No,1,DIAMOND,955,0
2563,Sykes,615.0,France,Male,64.0,0,81564.1,2,No,Yes,,No,3,SILVER,586,0
2564,Fan,472.0,France,Male,31.0,4,58662.92,2,No,Yes,73322.0,No,1,GOLD,437,0
2565,Shih,484.0,Germany,Male,40.0,7,106901.42,2,No,No,118045.98,No,2,PLATINUM,396,0
2566,Blackburn,646.0,France,Female,37.0,7,96558.66,1,No,No,163427.18,No,3,PLATINUM,493,0
2567,Loggia,683.0,Spain,Male,38.0,3,126152.84,1,No,No,15378.75,No,4,PLATINUM,611,0
2568,Pearson,693.0,France,Male,31.0,1,0.0,2,No,Yes,182270.88,No,1,SILVER,304,0
2569,Gardener,482.0,France,Female,35.0,2,133111.73,1,No,Yes,79957.95,No,3,PLATINUM,956,0
2570,Allardyce,591.0,France,Female,38.0,2,142289.28,1,No,Yes,119638.85,No,5,PLATINUM,392,0
2571,Chibugo,703.0,Spain,Male,58.0,4,92930.92,1,No,Yes,85148.78,No,4,DIAMOND,243,0
2572,Yeh,609.0,France,Male,26.0,10,126392.18,1,No,Yes,43651.49,No,1,GOLD,494,0
2573,Genovesi,595.0,Spain,Male,36.0,6,85768.42,1,Yes,Yes,24802.77,No,5,DIAMOND,301,0
2574,Henderson,630.0,France,Male,43.0,9,0.0,2,Yes,Yes,34338.04,No,4,GOLD,649,0
2575,Owen,580.0,Spain,Female,57.0,0,136820.99,1,No,Yes,108528.74,No,5,GOLD,419,0
2576,Feng,706.0,France,Female,29.0,5,112564.62,1,Yes,No,42334.38,No,5,PLATINUM,819,0
2577,Tsao,684.0,Germany,Female,26.0,2,114035.39,1,No,,96885.19,No,4,PLATINUM,383,0
2578,Ts'ao,710.0,Germany,Male,37.0,6,135795.63,1,No,Yes,46523.6,No,5,PLATINUM,677,0
2579,Yen,710.0,Germany,Female,24.0,2,110407.44,2,No,No,15832.43,Yes,4,SILVER,993,1
2580,Yobachukwu,850.0,Spain,Male,41.0,8,132838.07,1,Yes,Yes,175347.28,No,4,DIAMOND,751,0
2581,Sutherland,846.0,France,Female,34.0,10,142388.61,2,No,Yes,68393.64,Yes,5,SILVER,451,1
2582,Golibe,501.0,Germany,Male,24.0,4,130806.42,2,Yes,No,80241.14,No,1,GOLD,796,0
2583,Palmer,529.0,France,Female,31.0,7,0.0,2,Yes,Yes,175697.87,No,3,SILVER,578,0
2584,Francis,521.0,Germany,Female,29.0,2,87212.8,1,Yes,Yes,994.86,No,1,PLATINUM,836,0
2585,Yobanna,648.0,Germany,Male,34.0,3,95039.73,2,Yes,Yes,147055.87,No,3,DIAMOND,681,0
2586,Shen,726.0,Spain,Female,27.0,7,123826.07,1,No,,78970.58,No,2,GOLD,535,0
2587,Tsou,679.0,France,Female,24.0,6,114948.76,2,No,Yes,135768.25,No,4,GOLD,471,0
2588,Kerr,511.0,France,Female,30.0,5,0.0,2,Yes,No,143994.86,No,4,SILVER,248,0
2589,Kenenna,637.0,France,Female,44.0,2,0.0,2,Yes,No,149665.65,No,2,GOLD,348,0
2590,Long,619.0,Spain,Female,31.0,3,141751.82,1,No,Yes,61531.86,No,4,DIAMOND,241,0
2591,Buckley,653.0,France,Male,43.0,0,0.0,2,Yes,No,27862.58,No,2,SILVER,901,0
2592,Ifeatu,523.0,France,Male,61.0,8,66250.71,1,Yes,Yes,21859.06,No,4,SILVER,380,0
2593,Thomas,812.0,Spain,Female,,1,92476.88,1,No,No,83247.14,No,4,GOLD,816,0
2594,Hsiao,681.0,Spain,Male,67.0,7,0.0,2,No,Yes,163714.92,No,1,SILVER,444,0
2595,Boulger,654.0,Germany,Male,37.0,2,145610.07,2,No,No,186300.59,No,5,SILVER,458,0
2596,Huang,479.0,Germany,Male,35.0,4,138718.92,1,Yes,Yes,47251.79,Yes,1,GOLD,751,1
2597,Alexander,418.0,France,Female,39.0,2,0.0,2,No,No,9041.71,No,2,DIAMOND,242,0
2598,Todd,763.0,Spain,Female,37.0,6,0.0,2,Yes,Yes,149705.25,No,5,SILVER,799,0
2599,Murray,490.0,France,Male,39.0,1,0.0,3,Yes,No,171060.01,Yes,3,PLATINUM,506,1
2600,Kennedy,564.0,Germany,Female,,3,111760.4,3,Yes,Yes,,Yes,3,DIAMOND,785,1
2601,Ash,614.0,France,Male,44.0,6,0.0,2,No,Yes,104930.46,No,3,GOLD,371,0
2602,Chidubem,601.0,France,Male,,3,0.0,2,Yes,No,30607.11,No,4,SILVER,319,0
2603,K'ung,696.0,France,Male,42.0,4,0.0,1,No,No,,Yes,3,GOLD,255,1
2604,McGregor,586.0,France,Male,,7,151933.63,1,Yes,No,162960.05,Yes,4,SILVER,894,1
2605,Wall,685.0,France,Male,58.0,1,104796.54,1,Yes,Yes,154181.41,No,3,GOLD,673,0
2606,Thomson,825.0,France,Male,32.0,9,0.0,2,No,No,9751.03,No,5,PLATINUM,583,0
2607,Sanders,685.0,Spain,Male,38.0,4,0.0,2,Yes,Yes,35884.91,No,4,DIAMOND,966,0
2608,Le Gallienne,484.0,Spain,Female,,5,0.0,2,Yes,Yes,175224.12,No,2,SILVER,740,0
2609,Longo,651.0,Germany,Female,24.0,7,40224.7,1,Yes,Yes,178341.33,No,4,PLATINUM,842,0
2610,Page,530.0,France,Male,37.0,8,0.0,2,Yes,Yes,287.99,No,4,DIAMOND,605,0
2611,Ch'in,834.0,Spain,Male,34.0,5,0.0,2,No,No,,No,5,GOLD,709,0
2612,Marshall,683.0,Germany,Female,35.0,5,95698.79,1,No,Yes,182566.76,No,1,PLATINUM,986,0
2613,Abramowitz,690.0,France,Male,,5,0.0,1,Yes,No,12847.61,Yes,5,GOLD,439,1
2614,Barnard,693.0,France,Male,40.0,4,130661.96,1,Yes,Yes,101918.96,No,3,SILVER,910,0
2615,Lo,684.0,Germany,Female,40.0,6,137326.65,1,Yes,No,186976.6,No,1,PLATINUM,530,0
2616,Lu,845.0,Germany,Female,41.0,2,81733.74,2,No,No,199761.29,No,1,DIAMOND,359,0
2617,Henderson,723.0,France,Male,34.0,5,0.0,2,No,Yes,12092.03,No,4,DIAMOND,607,0
2618,Lahti,731.0,France,Male,33.0,4,0.0,2,Yes,Yes,74945.11,No,3,GOLD,383,0
2619,Ch'in,676.0,Germany,Male,28.0,1,69459.05,2,Yes,Yes,128461.29,No,4,DIAMOND,917,0
2620,Henderson,746.0,France,Male,37.0,2,0.0,2,Yes,No,143194.05,No,4,DIAMOND,415,0
2621,Hunter,,Spain,,36.0,8,188241.05,2,No,No,183058.51,Yes,3,DIAMOND,382,1
2622,Williams,610.0,France,Male,36.0,4,129440.3,2,Yes,No,102638.35,No,4,PLATINUM,975,0
2623,Warner,647.0,Spain,Female,26.0,8,109958.15,1,Yes,Yes,136592.24,Yes,2,GOLD,271,1
2624,Stevens,553.0,Spain,Male,41.0,6,144974.55,1,Yes,Yes,19344.92,No,1,PLATINUM,699,0
2625,Burgin,716.0,France,Female,52.0,7,65971.61,2,Yes,No,14608.0,Yes,2,PLATINUM,450,1
2626,Muldrow,587.0,Spain,Male,45.0,6,0.0,1,No,No,158684.81,No,3,PLATINUM,732,0
2627,Castiglione,557.0,France,Female,39.0,7,49572.73,1,Yes,No,115287.99,Yes,2,SILVER,647,1
2628,Fleming,462.0,France,Male,27.0,4,176913.52,1,Yes,No,80587.27,No,2,SILVER,513,0
2629,Donaldson,583.0,France,Female,27.0,1,125406.58,1,Yes,Yes,110784.42,No,1,PLATINUM,992,0
2630,Haworth,612.0,Germany,Male,32.0,9,106520.73,2,Yes,No,177092.16,No,3,GOLD,821,0
2631,Ritchie,675.0,France,Male,39.0,7,0.0,2,No,Yes,36267.21,No,5,GOLD,316,0
2632,Siciliano,684.0,Spain,Male,34.0,9,100628.0,2,Yes,Yes,190263.78,No,2,PLATINUM,451,0
2633,Shoobridge,538.0,France,Female,33.0,5,0.0,2,Yes,No,126962.41,No,3,DIAMOND,290,0
2634,Palazzi,710.0,Spain,Male,35.0,1,106518.52,1,Yes,Yes,127951.81,No,4,PLATINUM,939,0
2635,Sutherland,604.0,France,Male,33.0,3,148659.48,1,No,No,42437.75,No,5,DIAMOND,376,0
2636,McGregor,645.0,France,Male,19.0,9,128514.84,1,No,No,175969.19,No,5,GOLD,796,0
2637,Pagnotto,664.0,France,Male,57.0,1,0.0,2,Yes,Yes,56562.57,No,3,PLATINUM,910,0
2638,Ku,544.0,Germany,,37.0,2,79731.91,1,Yes,Yes,57558.95,No,4,DIAMOND,866,0
2639,Walton,525.0,France,Male,35.0,7,165358.77,1,No,Yes,94738.54,No,2,DIAMOND,694,0
2640,Oldham,474.0,France,,45.0,10,0.0,2,No,No,172175.9,No,4,PLATINUM,792,0
2641,Tan,804.0,France,Female,71.0,8,0.0,2,No,Yes,147995.96,No,5,SILVER,455,0
2642,Terry,696.0,Germany,Male,38.0,6,142316.14,1,Yes,,8018.49,No,1,GOLD,365,0
2643,Wright,750.0,Spain,Female,36.0,8,112940.07,1,No,Yes,9855.81,No,3,GOLD,447,0
2644,Craig,625.0,France,Female,45.0,3,0.0,1,Yes,Yes,184474.15,Yes,5,GOLD,375,1
2645,Grant,662.0,Spain,Male,38.0,4,0.0,2,Yes,,136259.65,No,5,GOLD,248,0
2646,Pai,688.0,Spain,Female,24.0,3,0.0,2,Yes,Yes,102195.16,No,5,DIAMOND,739,0
2647,Yefremova,573.0,Spain,Male,28.0,8,0.0,2,No,No,77660.03,No,4,PLATINUM,668,0
2648,Cameron,850.0,France,Male,39.0,4,127771.35,2,No,Yes,151738.54,No,4,PLATINUM,404,0
2649,Dale,782.0,France,Male,32.0,9,0.0,1,Yes,Yes,87566.97,No,5,SILVER,255,0
2650,Davide,777.0,France,Male,,1,0.0,2,Yes,No,21785.91,No,2,GOLD,984,0
2651,Yeh,624.0,Spain,Male,33.0,6,66220.17,1,No,Yes,170819.01,No,5,GOLD,413,0
2652,Bledsoe,624.0,Germany,Female,48.0,3,122388.38,2,No,No,30020.09,No,2,PLATINUM,300,0
2653,Gorshkov,609.0,Germany,Male,31.0,9,103837.75,1,Yes,Yes,150218.11,No,2,SILVER,718,0
2654,Hargreaves,,Germany,Male,35.0,4,95853.39,2,Yes,No,192933.37,No,5,GOLD,862,0
2655,Ferguson,670.0,France,Female,42.0,6,112333.63,1,Yes,Yes,65706.86,No,4,PLATINUM,569,0
2656,Tsou,590.0,France,Female,32.0,0,127763.24,1,Yes,No,100717.54,No,2,DIAMOND,417,0
2657,Barnes,703.0,France,Male,37.0,8,105961.68,2,No,Yes,74158.8,No,1,DIAMOND,619,0
2658,Bocharova,659.0,France,,44.0,9,23503.31,1,No,Yes,169862.01,Yes,4,GOLD,275,1
2659,Enyinnaya,707.0,France,Female,49.0,10,0.0,1,Yes,No,82967.97,Yes,2,PLATINUM,489,1
2660,Yudin,663.0,Germany,Male,49.0,7,116150.65,3,Yes,Yes,84358.71,Yes,5,DIAMOND,670,1
2661,Gallop,710.0,Germany,Male,45.0,9,108231.37,1,Yes,Yes,188574.08,No,5,GOLD,965,0
2662,Trentino,785.0,France,Female,40.0,3,0.0,2,Yes,Yes,96832.82,No,1,GOLD,222,0
2663,Clements,695.0,France,Male,,3,0.0,2,Yes,Yes,30793.61,No,1,PLATINUM,364,0
2664,Milliner,774.0,France,Female,47.0,6,94722.88,1,No,Yes,61450.96,No,5,DIAMOND,615,0
2665,Chiemenam,681.0,France,Male,,7,0.0,2,No,No,130686.59,No,4,DIAMOND,742,0
2666,Kaeppel,850.0,Spain,Female,29.0,1,0.0,2,Yes,Yes,,No,3,DIAMOND,534,0
2667,Wei,486.0,Germany,Female,40.0,9,71340.09,1,Yes,No,76192.21,No,4,PLATINUM,530,0
2668,Mazzi,581.0,Germany,Female,43.0,5,93259.57,3,Yes,No,141035.65,Yes,5,DIAMOND,276,1
2669,Okonkwo,501.0,France,Female,29.0,8,0.0,2,Yes,No,112664.24,No,5,SILVER,222,0
2670,Dumetochukwu,763.0,Germany,,,6,100160.75,1,Yes,No,33462.94,Yes,3,GOLD,709,1
2671,Davidson,672.0,Germany,Male,68.0,0,126061.51,2,Yes,Yes,184936.77,No,4,GOLD,564,0
2672,Marcelo,627.0,Germany,Male,24.0,5,102773.2,2,Yes,No,56793.02,Yes,1,PLATINUM,901,1
2673,Ch'in,608.0,France,Male,42.0,10,163548.07,1,Yes,,38866.85,No,3,DIAMOND,602,0
2674,Dellucci,685.0,Germany,Male,43.0,9,108589.47,2,No,Yes,194808.51,No,4,GOLD,376,0
2675,McMillan,582.0,Germany,Female,50.0,6,96486.57,2,Yes,Yes,20344.02,No,3,PLATINUM,355,0
2676,Lei,628.0,Germany,Female,61.0,1,97361.66,1,Yes,Yes,,Yes,5,GOLD,657,1
2677,Watt,702.0,France,Female,29.0,10,88378.6,1,Yes,,88550.28,No,3,PLATINUM,596,0
2678,Pendergrass,509.0,France,Female,46.0,1,0.0,1,Yes,No,71244.59,Yes,2,DIAMOND,264,1
2679,Harper,775.0,Germany,Female,33.0,1,118897.1,2,Yes,Yes,26362.4,No,2,SILVER,253,0
2680,Yeh,724.0,France,Female,37.0,10,68598.56,1,Yes,No,157862.82,No,1,GOLD,260,0
2681,Belov,733.0,Spain,Female,38.0,5,0.0,2,Yes,Yes,1271.51,No,2,PLATINUM,770,0
2682,Hearn,670.0,France,Male,33.0,2,141204.65,2,Yes,No,76257.46,No,5,GOLD,814,0
2683,Zetticci,762.0,France,Male,,6,130428.78,1,Yes,No,173365.89,No,4,GOLD,858,0
2684,Anderson,596.0,Germany,Male,32.0,3,96709.07,2,No,No,41788.37,No,1,GOLD,709,0
2685,Marino,494.0,France,Female,35.0,9,112727.06,2,Yes,No,183752.91,No,2,DIAMOND,697,0
2686,Ch'en,709.0,France,Male,37.0,7,0.0,1,Yes,No,159486.76,No,5,SILVER,981,0
2687,Shahan,700.0,France,,44.0,2,58781.76,1,Yes,No,16874.92,No,3,PLATINUM,785,0
2688,Ku,589.0,Germany,Female,19.0,9,83495.11,1,Yes,Yes,143022.31,Yes,4,GOLD,747,1
2689,Malloy,652.0,Germany,Male,45.0,2,151421.44,1,No,Yes,115333.43,No,2,GOLD,388,0
2690,Okonkwo,632.0,Germany,Male,65.0,6,129472.33,1,Yes,Yes,85179.48,No,1,SILVER,289,0
2691,Dobbs,582.0,Spain,Male,33.0,6,0.0,2,No,Yes,72970.93,No,4,DIAMOND,475,0
2692,Teng,848.0,Germany,Female,40.0,5,148495.64,1,No,No,158853.98,No,3,SILVER,616,0
2693,P'an,685.0,Spain,Male,34.0,6,83264.28,1,No,No,9663.28,No,5,GOLD,449,0
2694,Kerr,554.0,Spain,Female,45.0,4,0.0,2,Yes,Yes,193412.05,No,2,PLATINUM,957,0
2695,He,,France,Male,59.0,1,0.0,1,Yes,No,70649.64,Yes,4,DIAMOND,585,1
2696,Chimaoke,554.0,Spain,Male,66.0,8,0.0,2,Yes,Yes,116747.62,No,1,PLATINUM,259,0
2697,Sinclair,669.0,Spain,Female,33.0,8,0.0,2,No,Yes,128538.05,No,1,PLATINUM,565,0
2698,Allan,636.0,Germany,Female,28.0,2,115265.14,1,No,No,191627.85,No,1,DIAMOND,404,0
2699,Yeh,464.0,France,Male,46.0,6,161798.53,1,Yes,No,182944.47,No,5,SILVER,343,0
2700,Hu,664.0,France,Male,55.0,8,0.0,2,Yes,Yes,,No,5,SILVER,220,0
2701,Tokareva,614.0,France,Female,19.0,5,97445.49,2,Yes,No,122823.34,No,5,PLATINUM,596,0
2702,Cox,622.0,Spain,Female,36.0,0,108960.0,2,Yes,No,,Yes,1,PLATINUM,532,1
2703,K?,794.0,France,Male,35.0,6,0.0,2,Yes,Yes,68730.91,No,3,GOLD,934,0
2704,Melendez,758.0,France,Female,30.0,3,141581.08,1,Yes,No,156249.06,No,2,SILVER,797,0
2705,Earle,543.0,France,Female,34.0,8,0.0,2,No,Yes,145601.8,No,5,SILVER,236,0
2706,Findlay,515.0,Germany,Male,45.0,7,120961.5,3,Yes,Yes,39288.11,Yes,2,GOLD,692,1
2707,Samsonova,579.0,France,Female,39.0,3,166501.17,2,Yes,No,93835.64,No,2,PLATINUM,340,0
2708,Hsing,735.0,France,Male,,3,119558.35,1,No,No,72927.68,No,1,GOLD,386,0
